nohup: ignoring input
epsiode: 715, avg_score: 466.0, duration: 378.357871055603
epsiode: 720, avg_score: 706.0, duration: 381.30633020401
epsiode: 725, avg_score: 372.0, duration: 340.52551889419556
epsiode: 730, avg_score: 722.0, duration: 379.5594439506531
epsiode: 735, avg_score: 562.0, duration: 413.13349771499634
epsiode: 740, avg_score: 460.0, duration: 345.4103558063507
epsiode: 745, avg_score: 400.0, duration: 346.30020022392273
epsiode: 750, avg_score: 308.0, duration: 265.51708912849426
epsiode: 755, avg_score: 756.0, duration: 449.51587319374084
epsiode: 760, avg_score: 548.0, duration: 383.0335249900818
epsiode: 765, avg_score: 466.0, duration: 373.6024708747864
epsiode: 770, avg_score: 370.0, duration: 324.86698961257935
epsiode: 775, avg_score: 488.0, duration: 348.58955931663513
epsiode: 780, avg_score: 510.0, duration: 368.3884208202362
epsiode: 785, avg_score: 676.0, duration: 458.7586569786072
epsiode: 790, avg_score: 534.0, duration: 334.28007102012634
epsiode: 795, avg_score: 452.0, duration: 365.65800428390503
epsiode: 800, avg_score: 466.0, duration: 394.5501492023468
epsiode: 805, avg_score: 432.0, duration: 341.5725646018982
epsiode: 810, avg_score: 362.0, duration: 330.51940655708313
epsiode: 815, avg_score: 442.0, duration: 372.0004913806915
epsiode: 820, avg_score: 548.0, duration: 381.3374843597412
epsiode: 825, avg_score: 702.0, duration: 380.40612959861755
epsiode: 830, avg_score: 586.0, duration: 403.8448603153229
epsiode: 835, avg_score: 344.0, duration: 326.59064984321594
epsiode: 840, avg_score: 432.0, duration: 341.40245246887207
epsiode: 845, avg_score: 346.0, duration: 311.15588879585266
epsiode: 850, avg_score: 340.0, duration: 330.32752656936646
epsiode: 855, avg_score: 430.0, duration: 369.8316595554352
epsiode: 860, avg_score: 478.0, duration: 335.1284821033478
epsiode: 865, avg_score: 318.0, duration: 312.7389726638794
epsiode: 870, avg_score: 308.0, duration: 338.72242498397827
epsiode: 875, avg_score: 754.0, duration: 358.81048488616943
epsiode: 880, avg_score: 388.0, duration: 320.57087779045105
